"id_cata","code_cata","codbarra_cata","nomb_cata","id_fami","id_sgrup","id_grup","id_unid","id_marca","id_orig","id_colo","id_teji","id_tall","ubic_cata","pfob_cata","pcif_cata","esta_cata","id_emp","desc_cata","tipo_cata","stockmin_cata","combo_cata","textil_cata","gene_cata","gcmarca_cata"
"1","1","1","POLLO ECONOMICO","1","7","3","1","1","2","0","0","0","","1.00","2987.00","0","1","","3","1.00","0","0","0","1"
"2","2","2","POLLO BROASTER CUARTO 1/4","1","1","1","1","1","1","0","0","0","","15.00","1.00","0","1","","2","0.00","0","0","0","0"
"3","014","3","BURGER - BBQ (V)","1","3","1","1","1","2","0","0","0","","1.00","1.00","1","1","","2","0.00","0","0","0","0"
"4","013","4","HAMBURGUESA COMPLETA (AL)","1","3","1","1","1","2","0","0","0","","1.00","1.00","1","1","","2","0.00","0","0","0","0"
"5","018","5","LOMITO AL CHEDDAR","1","5","1","1","1","2","0","0","0","","1.00","1.00","1","1","","2","0.00","0","0","0","0"
"6","017","6","LOMITO A LA MOZZARELLA","1","5","1","1","1","2","0","0","0","","1.00","1.00","1","1","","2","0.00","0","0","0","0"
"7","011","7","MILANESA - CLASICA (V)","1","4","1","1","1","2","0","0","0","","35.00","35.00","1","1","","2","0.00","0","0","0","0"
"8","8","8","CAFE CON LECHE (SNACK)","2","46","26","1","1","1","0","0","0","","54.00","54.00","1","1","","2","0.00","0","0","0","0"
"9","COCACOLA-4","9","COCA COLA POPULAR 600 ML (V)","2","47","26","1","2","2","0","0","0","","2.50","2.50","1","1","","2","0.00","0","0","0","1"
"10","COCACOLA-3","10","COCA COLA MINI 190 ML (V)","2","48","26","1","2","2","0","0","0","","1.10","1.10","1","1","","2","0.00","0","0","0","1"
"11","FANTA-12","11","FANTA NARANJA PERSONAL 500 ML","2","46","26","1","3","2","0","0","0","","1.00","1.00","1","1","","2","0.00","0","0","0","1"
"12","FANTA-2","12","FANTA NARANJA POPULAR 600 ML","2","47","26","1","3","2","0","0","0","","2.50","2.50","1","1","","2","0.00","0","0","0","1"
"13","FANTA-3","13","FANTA NARANJA MINI 190 ML","2","48","26","1","3","2","0","0","0","","1.10","1.10","1","1","","2","0.00","0","0","0","1"
"14","14","14","INFUCIONES - SN","2","2","1","1","1","1","0","0","0","","1.00","1.00","1","1","DESAYUNO","2","0.00","0","0","0","0"
"15","SPRITE-4","15","SPRITE POPULAR 600 ML","2","47","26","1","4","2","0","0","0","","2.50","2.50","1","1","","2","0.00","0","0","0","1"
"16","SPRITE-3","16","SPRITE MINI 190 ML","2","48","26","1","4","2","0","0","0","","1.10","1.10","1","1","","2","0.00","0","0","0","1"
"17","17","17","AGUA VITAL 600 ML","2","2","1","1","1","1","0","0","0","","1.75","1.75","1","1","","2","0.00","0","0","0","0"
"18","021","18","ICE TEA - (V) - SN","2","46","1","1","1","2","0","0","0","","2.00","25.00","1","1","","2","10.00","0","0","0","0"
"19","19","19","PORCION DE ARROZ (V)","1","2","1","1","1","1","0","0","0","","1.00","3.00","1","1","","2","1.00","0","0","0","0"
"20","20","20","PORCION DE PAPA (V)","1","2","1","1","1","1","0","0","0","","1.00","1.00","1","1","","2","1.00","0","0","0","0"
"21","21","21","PORCION DE PLATANO (V)","1","2","1","1","1","1","0","0","0","","20.00","20.00","1","1","","2","1.00","0","0","0","0"
"23","019","","LOMITO PICANTE","1","5","1","1","1","2","0","0","0","","10.00","1.00","1","1","","2","1.00","0","0","0","0"
"24","015","","BURGER - CLASSIC (V)","1","3","1","1","1","2","0","0","0","","17.00","1.00","1","1","","2","100000.00","0","0","0","0"
"25","FANTA-1","","FANTA NARANJA 2 LITROS","2","45","26","1","3","2","0","0","0","","8.71","8.71","1","1","","2","0.00","0","0","0","1"
