"id_com","id_orden","id_alma","id_cpto","id_prov","fecha_com","moneda_com","tpcam_com","totcosto_com","total_com","desc_com","gastos_com","neto_com","factura_com","recibo_com","ingre_com","esta_com","id_user","id_emp","id_sucu","id_gest","user_add","date_add","user_mod","date_mod","user_del","date_del","cont_secu","id_cpte","fechapago_com"
"1","0","1","61","1","26/4/2016","1","6.96","0.00","0.00","0.00","0.00","0.00","0","1","0","1","7","1","1","6","7","26/4/2016 07:05:59","0","0/0/0000 00:00:00","0","0/0/0000 00:00:00","2","0","0/0/0000"
"2","0","1","61","1","19/9/2016","1","6.96","0.00","0.00","0.00","0.00","0.00","0","0","0","1","2","1","1","6","2","19/9/2016 11:49:52","0","0/0/0000 00:00:00","0","0/0/0000 00:00:00","0","0","0/0/0000"
"3","0","1","61","1","15/11/2016","1","6.96","0.00","0.00","0.00","0.00","0.00","0","0","0","1","7","1","1","6","7","15/11/2016 08:42:23","0","0/0/0000 00:00:00","0","0/0/0000 00:00:00","0","0","15/11/2016"
"4","0","2","154","1","16/11/2016","1","6.96","0.00","0.00","0.00","0.00","0.00","0","0","0","0","7","1","1","6","7","16/11/2016 11:10:59","0","0/0/0000 00:00:00","7","16/11/2016 11:16:40","0","0","16/11/2016"
"5","0","2","154","4","16/11/2016","1","6.96","0.00","1362.50","0.00","0.00","1362.50","3284","0","0","0","7","1","1","6","7","16/11/2016 22:33:50","7","16/11/2016 23:02:11","7","16/11/2016 23:02:33","0","0","16/11/2016"
"6","0","2","154","4","16/11/2016","1","6.96","0.00","0.00","0.00","0.00","0.00","0","13796","0","0","7","1","1","6","7","16/11/2016 22:57:04","0","0/0/0000 00:00:00","7","16/11/2016 23:02:41","0","0","16/11/2016"
"7","0","2","154","3","16/11/2016","1","6.96","0.00","0.00","0.00","0.00","0.00","0","0","0","0","7","1","1","6","7","16/11/2016 23:05:17","0","0/0/0000 00:00:00","7","17/11/2016 12:23:22","0","0","16/11/2016"
"8","0","2","154","4","16/11/2016","1","6.96","0.00","0.00","0.00","0.00","0.00","0","13796","0","0","7","1","1","6","7","17/11/2016 10:36:08","0","0/0/0000 00:00:00","7","17/11/2016 12:23:13","0","0","16/11/2016"
"9","0","2","154","4","16/11/2016","1","6.96","0.00","0.00","0.00","0.00","0.00","0","13796","0","0","7","1","1","6","7","17/11/2016 10:42:40","0","0/0/0000 00:00:00","7","17/11/2016 12:23:03","0","0","16/11/2016"
"10","0","2","154","1","16/11/2016","1","6.96","0.00","1362.50","0.00","0.00","1362.50","3284","0","1","0","7","1","1","6","7","17/11/2016 10:43:23","7","17/11/2016 11:18:04","7","17/11/2016 12:23:35","0","0","16/11/2016"
"11","0","2","154","1","16/11/2016","1","6.96","0.00","1397.50","0.00","0.00","1397.50","51719","0","0","0","7","1","1","6","7","17/11/2016 10:49:29","7","17/11/2016 10:57:02","7","17/11/2016 12:23:49","0","0","16/11/2016"
"12","0","2","154","1","17/11/2016","1","6.96","0.00","0.00","0.00","0.00","0.00","0","0","0","0","7","1","1","6","7","17/11/2016 11:05:32","0","0/0/0000 00:00:00","7","17/11/2016 11:09:06","0","0","17/11/2016"
"13","0","2","154","4","16/11/2016","1","6.96","0.00","1250.00","0.00","0.00","1250.00","2883","13796","1","1","7","1","1","6","7","17/11/2016 12:24:50","7","18/11/2016 16:31:31","0","0/0/0000 00:00:00","0","0","16/11/2016"
"14","0","2","154","9","16/11/2016","1","6.96","0.00","147.50","0.00","0.00","147.50","3284","0","1","1","7","1","1","6","7","17/11/2016 12:29:07","7","18/11/2016 16:31:46","0","0/0/0000 00:00:00","0","0","16/11/2016"
"15","0","2","154","3","16/11/2016","1","6.96","0.00","0.00","0.00","0.00","0.00","0","0","0","0","7","1","1","6","7","17/11/2016 12:33:16","0","0/0/0000 00:00:00","7","17/11/2016 12:38:09","0","0","16/11/2016"
"16","0","2","154","3","17/11/2016","1","6.96","0.00","0.00","0.00","0.00","0.00","0","0","0","0","7","1","1","6","7","17/11/2016 12:42:32","0","0/0/0000 00:00:00","7","17/11/2016 20:21:11","0","0","17/11/2016"
"17","0","2","61","3","17/11/2016","1","6.96","0.00","0.00","0.00","0.00","0.00","0","0","0","0","7","1","1","6","7","17/11/2016 17:13:41","0","0/0/0000 00:00:00","7","17/11/2016 20:21:06","0","0","17/11/2016"
"18","0","2","154","5","17/11/2016","1","6.96","0.00","0.00","0.00","0.00","0.00","0","0","0","0","7","1","1","6","7","17/11/2016 18:02:47","0","0/0/0000 00:00:00","7","17/11/2016 20:21:00","0","0","17/11/2016"
"19","0","2","154","3","16/11/2016","1","6.96","0.00","85.63","0.00","0.00","85.63","517119","0","0","0","7","1","1","6","7","17/11/2016 18:59:31","7","17/11/2016 19:02:10","7","17/11/2016 20:36:56","0","0","16/11/2016"
"20","0","2","154","15","16/11/2016","1","6.96","0.00","5.00","0.00","0.00","5.00","2214","0","1","0","7","1","1","6","7","17/11/2016 19:04:03","7","17/11/2016 19:20:27","7","17/11/2016 19:56:02","0","0","16/11/2016"
"21","0","2","154","18","16/11/2016","1","6.96","0.00","0.00","0.00","0.00","0.00","0","0","0","0","7","1","1","6","7","17/11/2016 19:33:25","0","0/0/0000 00:00:00","7","17/11/2016 19:55:50","0","0","16/11/2016"
"22","0","2","154","5","17/11/2016","1","6.96","0.00","0.00","0.00","0.00","0.00","0","0","0","0","7","1","1","6","7","17/11/2016 20:00:23","0","0/0/0000 00:00:00","7","17/11/2016 20:20:52","0","0","17/11/2016"
"23","0","2","154","3","16/11/2016","1","6.96","0.00","85.50","0.00","0.00","85.50","517119","0","1","1","7","1","1","6","7","17/11/2016 20:38:18","7","18/11/2016 16:31:59","0","0/0/0000 00:00:00","0","0","16/11/2016"
"24","0","2","154","10","16/11/2016","1","6.96","0.00","125.00","0.00","0.00","125.00","0","57351","1","1","7","1","1","6","7","17/11/2016 20:43:42","7","18/11/2016 16:32:11","0","0/0/0000 00:00:00","0","0","16/11/2016"
"25","0","2","154","10","17/11/2016","1","6.96","0.00","50.00","0.00","0.00","50.00","0","78774","1","1","7","1","1","6","7","17/11/2016 20:45:19","7","18/11/2016 16:32:25","0","0/0/0000 00:00:00","0","0","17/11/2016"
"26","0","2","154","10","16/11/2016","1","6.96","0.00","1375.00","0.00","0.00","1375.00","0","83715","1","1","7","1","1","6","7","17/11/2016 20:47:09","7","18/11/2016 16:32:50","0","0/0/0000 00:00:00","0","0","16/11/2016"
"27","0","2","154","10","16/11/2016","1","6.96","0.00","17.00","0.00","0.00","17.00","0","32496","1","1","7","1","1","6","7","17/11/2016 20:50:50","7","18/11/2016 16:33:08","0","0/0/0000 00:00:00","0","0","16/11/2016"
"28","0","2","154","10","16/11/2016","1","6.96","0.00","50.00","0.00","0.00","50.00","0","78773","1","1","7","1","1","6","7","17/11/2016 20:55:57","7","18/11/2016 16:33:22","0","0/0/0000 00:00:00","0","0","16/11/2016"
